                                                                                                                                                                                                                                  
  id   key                                                                                                 provider     diagnostic                                dirty   successful   created_at            updated_at           
  35   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5_psl__pmp-climatology_ERA-5_psl                             pmp          annual-cycle                              False   True         2025-05-28 14:08:38   2025-05-28 14:20:33  
  36   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_psl__pmp-climatology_ERA-5_psl                           pmp          annual-cycle                              False   True         2025-05-28 14:08:38   2025-05-28 14:20:39  
  37   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5_psl__pmp-climatology_ERA-5_psl                           pmp          annual-cycle                              False   True         2025-05-28 14:08:38   2025-05-28 14:20:32  
  38   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_pr__pmp-climatology_GPCP-Monthly-3-2_pr                  pmp          annual-cycle                              False   True         2025-05-28 14:08:38   2025-05-28 14:20:41  
  39   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_rlut__pmp-climatology_CERES-EBAF-4-2_rlut                pmp          annual-cycle                              False   True         2025-05-28 14:08:38   2025-05-28 14:17:38  
  40   cmip6_piControl_gn_r1i1p1f1_ACCESS-ESM1-5_rlut__pmp-climatology_CERES-EBAF-4-2_rlut                 pmp          annual-cycle                              True    False        2025-05-28 14:08:38   2025-05-28 14:08:38  
  41   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_rsdt__pmp-climatology_CERES-EBAF-4-2_rsdt                pmp          annual-cycle                              False   True         2025-05-28 14:08:38   2025-05-28 14:20:22  
  42   cmip6_piControl_gn_r1i1p1f1_ACCESS-ESM1-5_rsdt__pmp-climatology_CERES-EBAF-4-2_rsdt                 pmp          annual-cycle                              True    False        2025-05-28 14:08:38   2025-05-28 14:08:38  
  43   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_rsut__pmp-climatology_CERES-EBAF-4-2_rsut                pmp          annual-cycle                              False   True         2025-05-28 14:08:38   2025-05-28 14:20:26  
  44   cmip6_piControl_gn_r1i1p1f1_ACCESS-ESM1-5_rsut__pmp-climatology_CERES-EBAF-4-2_rsut                 pmp          annual-cycle                              True    False        2025-05-28 14:08:38   2025-05-28 14:08:38  
  45   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_tel                                  False   True         2025-05-28 14:08:38   2025-05-28 14:16:34  
  46   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_tel                                  False   True         2025-05-28 14:08:38   2025-05-28 14:15:36  
  47   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_proc                                 False   True         2025-05-28 14:08:38   2025-05-28 14:15:36  
  48   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_proc                                 False   True         2025-05-28 14:08:38   2025-05-28 14:15:36  
  49   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-pdo    False   True         2025-05-28 14:08:38   2025-05-28 14:15:36  
  50   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-pdo    False   True         2025-05-28 14:08:38   2025-05-28 14:15:37  
  51   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-pdo    False   True         2025-05-28 14:08:38   2025-05-28 14:15:37  
  52   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-pdo    False   True         2025-05-28 14:08:38   2025-05-28 14:15:37  
  53   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-npgo   False   True         2025-05-28 14:08:38   2025-05-28 14:15:37  
  54   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-npgo   False   True         2025-05-28 14:08:38   2025-05-28 14:15:42  
  55   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-npgo   False   True         2025-05-28 14:08:38   2025-05-28 14:15:37  
  56   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                 pmp          extratropical-modes-of-variability-npgo   False   True         2025-05-28 14:08:38   2025-05-28 14:15:37  
  57   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nao    False   True         2025-05-28 14:08:38   2025-05-28 14:16:28  
  58   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nao    False   True         2025-05-28 14:08:38   2025-05-28 14:16:07  
  59   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nao    False   True         2025-05-28 14:08:38   2025-05-28 14:15:38  
  60   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nao    False   True         2025-05-28 14:08:38   2025-05-28 14:15:38  
  61   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nam    False   True         2025-05-28 14:08:38   2025-05-28 14:15:53  
  62   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                         pmp          extratropical-modes-of-variability-nam    False   True         2025-05-28 14:08:38   2025-05-28 14:15:38  
  63   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nam    False   True         2025-05-28 14:08:39   2025-05-28 14:16:34  
  64   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_20CR_psl                                       pmp          extratropical-modes-of-variability-nam    False   True         2025-05-28 14:08:39   2025-05-28 14:16:58  
