                                                                                                                                                                                                                                  
  id   key                                                                                                 provider     diagnostic                                dirty   successful   created_at            updated_at           
  35   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5_psl__pmp-climatology_ERA-5_psl                             pmp          annual-cycle                              False   True         2025-07-04 17:44:11   2025-07-04 17:55:16  
  36   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_psl__pmp-climatology_ERA-5_psl                           pmp          annual-cycle                              False   True         2025-07-04 17:44:11   2025-07-04 17:55:18  
  37   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5_psl__pmp-climatology_ERA-5_psl                           pmp          annual-cycle                              False   True         2025-07-04 17:44:11   2025-07-04 17:55:17  
  38   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_pr__pmp-climatology_GPCP-Monthly-3-2_pr                  pmp          annual-cycle                              False   True         2025-07-04 17:44:11   2025-07-04 17:55:30  
  39   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_rlut__pmp-climatology_CERES-EBAF-4-2_rlut                pmp          annual-cycle                              False   True         2025-07-04 17:44:11   2025-07-04 17:53:37  
  40   cmip6_piControl_gn_r1i1p1f1_ACCESS-ESM1-5_rlut__pmp-climatology_CERES-EBAF-4-2_rlut                 pmp          annual-cycle                              True    False        2025-07-04 17:44:11   2025-07-04 17:44:11  
  41   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_rsdt__pmp-climatology_CERES-EBAF-4-2_rsdt                pmp          annual-cycle                              False   True         2025-07-04 17:44:11   2025-07-04 17:55:20  
  42   cmip6_piControl_gn_r1i1p1f1_ACCESS-ESM1-5_rsdt__pmp-climatology_CERES-EBAF-4-2_rsdt                 pmp          annual-cycle                              True    False        2025-07-04 17:44:11   2025-07-04 17:44:11  
  43   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5_rsut__pmp-climatology_CERES-EBAF-4-2_rsut                pmp          annual-cycle                              False   True         2025-07-04 17:44:11   2025-07-04 17:55:20  
  44   cmip6_piControl_gn_r1i1p1f1_ACCESS-ESM1-5_rsut__pmp-climatology_CERES-EBAF-4-2_rsut                 pmp          annual-cycle                              True    False        2025-07-04 17:44:11   2025-07-04 17:44:11  
  45   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_tel                                  False   True         2025-07-04 17:44:12   2025-07-04 17:52:40  
  46   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_tel                                  False   True         2025-07-04 17:44:12   2025-07-04 17:52:30  
  47   cmip6_historical_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_proc                                 False   True         2025-07-04 17:44:12   2025-07-04 17:52:30  
  48   cmip6_historical_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_obs4MIPs                                       pmp          enso_proc                                 False   True         2025-07-04 17:44:12   2025-07-04 17:52:30  
  49   cmip6_hist-GHG_gn_r1i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-pdo    False   True         2025-07-04 17:44:12   2025-07-04 17:52:30  
  50   cmip6_hist-GHG_gn_r2i1p1f1_ACCESS-ESM1-5__obs4mips_HadISST-1-1_ts                                   pmp          extratropical-modes-of-variability-pdo    False   True         2025-07-04 17:44:12   2025-07-04 17:52:30  
